sma_length,vol_std_mult,trailing_stop_mult,is_sharpe,is_cagr_pct,is_max_dd_pct,is_trades,oos_sharpe,oos_cagr_pct,oos_max_dd_pct,oos_trades
50,1.5,1.5,1.8879633928414221,128.93868338859784,32.40800582349818,35,1.1054906412723196,35.52306203798749,19.516792095993853,10
50,1.5,2.0,1.7641245950259403,118.37169993427104,40.894233897944204,28,1.3956899498285231,55.90840525635008,25.732754050372225,8
50,1.5,2.5,1.7313257243952747,118.31864803071261,36.36003697736412,24,0.14055085521431737,-0.1580782777659384,27.306913886141395,5
100,1.5,1.5,1.6825923592886904,100.2900742445128,32.662021990836635,27,-0.16928517530532297,-7.191697535307573,25.659301027177357,8
100,1.0,1.5,1.6348721428159863,103.3867117750491,31.641165305667617,35,0.13862048181150893,0.07119534265982441,25.659301027177357,9
50,1.0,1.5,1.5964716214413124,105.38959943330606,44.88833019596112,44,1.6445368025301597,69.38487799384654,11.813668282933065,12
50,1.0,2.0,1.5769139835257977,103.7571099605735,40.46965254198059,33,1.6410089330999935,73.17592400880766,19.6352691324296,9
50,1.5,3.0,1.558469805732549,105.84065614050222,32.6538286955339,22,0.127324424201206,-0.6489315763154369,27.983045812263835,5
75,1.5,1.5,1.5400227177843886,89.22243740617517,32.67099666739345,31,-0.16928517530532297,-7.191697535307573,25.659301027177357,8
100,1.5,3.0,1.5017476190072914,92.58124257680129,28.676687177505833,17,-1.1620993531989305,-32.894868545911734,42.80074941323678,6
50,1.0,2.5,1.4785447650815744,95.99033284779001,39.74194988173414,30,0.051406413268080785,-3.52086742700497,20.678639188851186,6
50,1.0,3.0,1.4602435120548032,96.80993660683808,39.65011493634068,25,0.43603238287950713,8.975152113655248,20.678639188851182,5
100,1.0,2.0,1.4300373018802717,83.89215866287125,42.12761404881821,29,-0.23340064532688098,-10.835779541615265,32.27469900789859,9
100,1.5,2.0,1.4298908963450585,77.93528502422855,40.58173730300222,23,-0.8408301025786543,-24.526801986115387,37.28701483527937,7
75,1.5,2.0,1.4155723115299057,78.97221802748422,40.50542598078991,25,-0.8408301025786543,-24.526801986115387,37.28701483527937,7
75,1.5,3.0,1.3402492281173954,78.51502495910154,30.86716718167849,20,-1.1620993531989305,-32.894868545911734,42.80074941323678,6
100,1.0,2.5,1.3190886420406405,77.67235765150096,39.305340612822015,23,-0.3129430115976859,-12.736250726858067,29.261733004149253,7
100,1.5,2.5,1.3087240455666207,71.17612110003763,40.472364902897255,19,-1.1241847670938052,-30.93554660087463,41.737729150899476,7
30,1.0,1.5,1.3057270948984168,77.77260179236075,48.262389430665905,51,1.136536217040147,40.60618669400158,20.559689337672648,14
75,1.5,2.5,1.2471418484972776,67.47400154597447,40.38932129925895,22,-1.1241847670938052,-30.93554660087463,41.737729150899476,7
30,1.5,3.0,1.2053166570238405,67.59266749041319,56.39328706111277,30,1.0331145725528308,36.19211326396277,36.18617588343553,7
30,1.0,3.0,1.2017451271442814,71.68667196961593,58.98398576221597,38,1.615672536078191,79.12729217880474,19.879949719823657,10
100,1.0,3.0,1.200041420371165,67.93584170071159,48.25736357215094,20,-0.37447777192740384,-14.984369023106147,30.622876153014506,6
30,1.0,2.0,1.1967328417933456,67.0184781257156,55.696832451837906,41,1.4864537645362226,62.72664788308735,23.01909173970144,12
75,1.0,1.5,1.1506017730593245,60.070979634072195,44.916423370526424,41,0.4778880870096027,10.04582352279748,19.41593068524456,9
30,1.5,2.0,1.0963600585609758,54.77771079435345,54.834260466743736,32,1.1397728587950053,39.545007277591495,32.32764417358953,7
50,2.0,1.5,1.082504951631635,33.079762749011564,21.5580817620043,9,1.1064094341732829,22.617203066564585,8.961642748026811,3
50,2.0,2.0,1.0647807848501247,32.74899584231672,24.497022875769705,8,1.42618006340423,36.92614089867339,13.31019610425162,3
30,1.5,2.5,1.0567307036198506,51.784178204258936,58.7672761666583,30,0.9752543820608977,33.087321982529346,36.289538084931834,7
75,1.0,2.0,1.0214663276204567,49.59021570047375,46.11994012104448,32,-0.296723830395118,-12.943788417816771,34.121460938411495,9
30,1.5,1.5,0.991019261551169,45.69950594735233,51.39833492048586,42,1.0488302389629045,30.259935012161886,21.86779442614843,9
30,1.0,2.5,0.9596797087190136,46.747947966568184,68.69046967755624,38,1.622190538379857,81.49073043869973,19.879949719823664,10
75,2.0,1.5,0.9522434141666953,24.996047084308138,26.556948720131818,6,1.1064094341732829,22.617203066564585,8.961642748026811,3
100,2.0,1.5,0.9522434141666953,24.996047084308138,26.556948720131818,6,1.1064094341732829,22.617203066564585,8.961642748026811,3
75,2.0,2.0,0.8858074239881397,23.660209764493057,26.556948720131818,6,1.42618006340423,36.92614089867339,13.31019610425162,3
100,2.0,2.0,0.8858074239881397,23.660209764493057,26.556948720131818,6,1.42618006340423,36.92614089867339,13.31019610425162,3
50,2.0,2.5,0.8478123685031032,25.164641787484832,24.4970228757697,8,-0.9679816624575099,-11.889512106923084,13.672469210086117,2
75,1.0,2.5,0.831601359504889,36.30234984417206,44.50722873800268,29,-0.43393466361335564,-15.787192474824241,31.31959757203928,7
75,1.0,3.0,0.821468186775404,36.28069108465195,52.38487235887549,26,-0.44193238596079354,-16.496249478162227,31.63114525871063,6
50,2.0,3.0,0.803820646939559,23.478576267323792,27.896398719667882,7,-1.4932871822087594,-24.090072149052155,24.08536344408018,2
30,2.0,1.5,0.657078040428744,16.775822156252328,31.77104087047123,13,1.364597725943319,26.634982538474162,5.817922953845127,2
100,2.0,2.5,0.64815789097758,16.08710396753825,29.322606791538053,6,-0.9679816624575099,-11.889512106923084,13.672469210086117,2
75,2.0,2.5,0.64815789097758,16.08710396753825,29.322606791538053,6,-0.9679816624575099,-11.889512106923084,13.672469210086117,2
30,2.0,2.0,0.629161934423176,16.33897886866549,40.89485732799296,12,1.7867887902643844,45.707089496282926,7.972739554852078,2
75,2.0,3.0,0.5316828377478766,12.21155692150495,33.937013654199305,6,-1.4932871822087594,-24.090072149052155,24.08536344408018,2
100,2.0,3.0,0.5316828377478766,12.21155692150495,33.937013654199305,6,-1.4932871822087594,-24.090072149052155,24.08536344408018,2
30,2.0,2.5,0.5042690120165856,12.14332001090932,48.261128104734716,11,-0.6271809499409695,-5.327662923280085,7.589571492635587,1
30,2.0,3.0,0.13624277092107454,-2.4183620822648355,66.43906751814448,9,-1.2880909648928507,-14.674483736248467,15.513443293460597,1
50,2.5,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
50,2.5,2.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
50,2.5,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
50,2.5,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
30,2.5,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
30,2.5,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
30,2.5,2.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
30,2.5,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
75,2.5,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
75,2.5,2.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
75,2.5,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
75,2.5,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
100,2.5,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
100,2.5,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
100,2.5,2.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
100,2.5,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
